cc_upcoming,pp,fb,sd,bid,ibz,cd,dsny,hc,cc,nycongress,sa,ss,nta,zipcode,hd
11,49;52;50;47,15;27;19,11;10,Jerome-Gun Hill?BID;Kingsbridge?BID,,227;207;208;226;212,BX07;BX08;BX12,24;21,12;15;11,13;15;16,80;83;78;81,36;31;33,park-cemetery-etc-Bronx;Norwood;Williamsbridge-Olinville;Bedford Park-Fordham North;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale;Woodlawn-Wakefield,10467;10458;10468;10463;10471;10466;10470,Perry Avenue Historic District;Fieldston Historic District;Riverdale Historic District
12,45;49;47,15;27,11,,Eastchester,210;228;211;212,BX10;BX11;BX12,24,13;12;15,14;15;16,82;80;83,36,Co-op City;Eastchester-Edenwald-Baychester;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;Woodlawn-Wakefield,10475;10469;10467;10466,
13,45;49;47,20;15;18;27,8;11;12,Throggs Neck BID;Westchester Square;Morris Park BID;White Plains Road? BID,Zerega;Eastchester,209;210;228;211;227;212,BX09;BX10;BX11;BX12,26;24;21,13;15,14;15,87;82;80;83,34;36;33,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;West Farms-Bronx River;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;East Tremont,10464;10461;10462;10465;10475;10469;10467;10460,
14,52;46;50,17;27;19,9;10,Fordham Road?BID,,205;207;208,BX05;BX07;BX08,25;21,16;15;14;11,13;15,77;78;86;81,32;31;33,Mount Hope;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge,10452;10457;10458;10453;10468;10463,Morris Avenue Historic District
15,49;42;44;48;52;46,20;15;26;17;18;27;19,11;9;12;10,Belmont BID;Fordham Road?BID,Bathgate,211;227;203;204;206;205;207,BX11;BX03;BX04;BX06;BX05;BX07,26;24;22;25;21,17;16;15;11,14;13;15,87;80;79;78;86,36;32;33,park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Bronxdale;Crotona Park East;Morrisania-Melrose;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North,10462;10467;10456;10460;10457;10458,
16,42;44;52;46,14;26;17;19,7;8;9;10,161st Street?BID,,203;204;205;207,BX03;BX04;BX05;BX07,23;22;25,8;17;16;14,13;15,84;77;79;86,29;32;31,park-cemetery-etc-Bronx;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;University Heights-Morris Heights,10451;10456;10452;10457;10453;10468,Grand Concourse Historic District;Clay Avenue Historic District
17,114;40;41;43;42;44;48,14;3;20;26;18,7;8;9;12,Southern Boulevard?BID;HUB/3rd Avenue?BID,Hunts Point,201;202;209;203;204;206,BX01;BX02;BX09;BX03;BX04;BX06,23;26;22,8;18;17;16,14;15,85;87;84;79,29;34;32,Mott Haven-Port Morris;Hunts Point;Longwood;Soundview-Bruckner;West Farms-Bronx River;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;East Tremont,10474;10451;10455;10472;10459;10456;10460,Longwood Historic District;Manida Street Historic District;Longwood Historic District Extension;Morris High School Historic District
18,43;45,3;20;18,8;11;12,Westchester Square,Zerega,209;210,BX09;BX10,26,18;13;17,14,85;87;82,29;34;32,Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square,10473;10472;10461;10462;10460,
19,111;109,53;52,26;25,Bayside Village,,411;407,QE11;QE07,43,20;19,6;3;14,25;27;40;26,16;11,park-cemetery-etc-Queens;East Flushing;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11362;11358;11354;11361;11363;11360;11359;11356;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
20,107;110;111;109,53;52,26;25,Downtown Flushing,,408;481;411;407,QE08;QE11;QE07,43,24;20,6;3,25;27;40;26,16;11,park-cemetery-etc-Queens;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing;Murray Hill,11367;11364;11365;11355;11368;11358;11354;11361,
