cc,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,nycongress,sa,ss,nta,zipcode,hd
1,84;1;7;5;9;6,1;32;4;2;6,13;1;2,Downtown Alliance BID;Chinatown;SoHo Broadway BID;Lower East Side BID;NoHo BID;Hudson Square;Village Alliance BID,,101;302;103;102,MN01;BKN02;MN03;MN02,14;15,1;2,10,61;65;66,26;27,Battery Park City-Lower Manhattan;Lower East Side;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;West Village;park-cemetery-etc-Manhattan,10004;10041;10043;10265;11201;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10048;10281;10285;10282;10013;10002;10012;10003;10011,Governors Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;South Village Historic District;Greenwich Village Historic District
10,33;52;34;50,13;19,6;10,Washington Heights BID,,112;207;208,MN12;BX07;BX08,17,10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10032;10033;10040;10034;10463,Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
12,45;49;47,15;27,11,,Eastchester,210;228;211;212,BX10;BX11;BX12,24;21,12;11,14;15;16,82;80;83;81,36,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;Woodlawn-Wakefield,10475;10469;10467;10466,
13,43;45;49;47,3;20;15;27,8;11,Throggs Neck BID;Westchester Square;Morris Park BID;White Plains Road? BID,Zerega;Eastchester,209;210;228;211;212,BX09;BX10;BX11;BX12,26;24,18;13;12,14;15,87;82;80;83,34;36;33,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Westchester-Unionport;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens,10464;10461;10462;10465;10475;10469;10467,
15,49;42;44;48;52;46;47,20;15;17;18;27;19,11;9;12;10,Morris Park BID;Belmont BID;Fordham Road?BID,Bathgate,209;211;227;203;204;206;205;207;212,BX09;BX11;BX03;BX04;BX06;BX05;BX07;BX12,26;24;22;25;21,13;12;15;14;11,14;13;15,87;80;79;78;86,36;32;33,West Farms-Bronx River;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Bronxdale;Williamsbridge-Olinville;Crotona Park East;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North,10462;10467;10460;10457;10458,
16,42;44;46,14;26;17;18;19,7;8;9;12;10,161st Street?BID,Bathgate,203;204;205,BX03;BX04;BX05,23;22;25,17;16;15;14,13;15,84;77;79;86,29;32;31,Longwood;park-cemetery-etc-Bronx;Crotona Park East;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;University Heights-Morris Heights,10451;10459;10456;10452;10460;10457;10453,Grand Concourse Historic District;Morris High School Historic District;Clay Avenue Historic District
17,114;40;41;43;42;44;48,14;3;20;26;18,7;8;9;12;10,Southern Boulevard?BID;HUB/3rd Avenue?BID,Hunts Point;Port Morris,201;202;209;203;204;206,BX01;BX02;BX09;BX03;BX04;BX06,23;26;22;25,8;17;18;16;15,14;15,85;87;84;77;79;86,29;32,Mott Haven-Port Morris;Hunts Point;Longwood;Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;West Farms-Bronx River;park-cemetery-etc-Bronx;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;East Tremont,10474;10451;10454;10455;10473;10472;10459;10456;10460;10457,Grand Concourse Historic District;Longwood Historic District;Manida Street Historic District;Longwood Historic District Extension
18,41;43;45;48,3;20;18,8;11;12,,Zerega,209;210;206,BX09;BX10;BX06,26,17;18,14,85;87,29;34;32,Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Crotona Park East,10473;10472;10461;10462;10460,
19,111;109,53;52,26;25,Bayside Village,,411;407,QE11;QE07,43,19,6;3;14,25;27;40;26,16;11,park-cemetery-etc-Queens;East Flushing;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11362;11358;11354;11361;11363;11360;11359;11356;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
21,110;115,52;46;49,28;25;24;30,82nd Street BID,Astoria,481;404;403;480;407,QW04;QW03;QE07,42;43,25;21,6;14,39;27;35;34,16;11;13,park-cemetery-etc-Queens;Airport;Elmhurst;Corona;North Corona;Jackson Heights;East Elmhurst,11373;11368;11372;11369;11371,Jackson Heights Historic District
