zipcode,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,hd
10456,40;42;44,14;26;17;18,7;8;9;12,,,201;203;204,BX01;BX03;BX04,23;22;25,17;16;15,17;16,15,84;77;79,29;32,Longwood;park-cemetery-etc-Bronx;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;Claremont-Bathgate,Grand Concourse Historic District;Morris High School Historic District;Clay Avenue Historic District
10472,43,3;18,8;12,,,209,BX09,26;22,17;18,18;17,14,85;87,34;32,Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;Crotona Park East,
10031,26;30,16;13,5;6,,,109,MN09,16;17,9;7,7;9,13,70;71,30,Manhattanville;Hamilton Heights,Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District
10039,32;30,16,5;6,,,110,MN10,11;17,9,9,13,71,30,Central Harlem North-Polo Grounds;Hamilton Heights,
10459,40;41;43;42,3;26,7;8;12,Southern Boulevard?BID,,201;202;209;203,BX01;BX02;BX09;BX03,23;22,17,17;16,14;15,85;79,32,Hunts Point;Longwood;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose,
10451,40;42;44,14;26;17,7;8;9,161st Street?BID,Port Morris,201;203;204,BX01;BX03;BX04,23;22,8;17;16,8;17;16,15,84;77;79,29;32,Mott Haven-Port Morris;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse,Grand Concourse Historic District
10473,43,3,8,,Zerega,209,BX09,26,18,18;17,14,85;87,29;34,Soundview-Castle Hill-Clason Point-Harding Park;Westchester-Unionport;park-cemetery-etc-Bronx,
10030,32;30,16,5,,,109;110,MN09;MN10,11;17,9,9,13,70;71,30,Central Harlem North-Polo Grounds;Hamilton Heights,Dorrance Brooks Square Historic District;St. Nicholas Historic District
10027,26;28;32;30;25,11;16;12,3;5;6,125th Street BID,,109;110;111,MN09;MN10;MN11,16;11;17,9;7,7;9,13,69;70;68;71,30,Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds;East Harlem North,Morningside Heights Historic District;Mount Morris Park Historic District;Mount Morris Park Historic District Extension;Central Harlem West 130-132nd Street Historic District
10474,41,3;26,8,,Hunts Point,202,BX02,23,17,17,14,85;84,29;32,Hunts Point,Manida Street Historic District
10455,40;41,14;26,7;8,HUB/3rd Avenue?BID,Hunts Point;Port Morris,201;202,BX01;BX02,23,8;17,8;17,14;15,85;84;79,29;32,Mott Haven-Port Morris;Hunts Point;Longwood;Melrose South-Mott Haven North,Longwood Historic District;Longwood Historic District Extension
10037,32;25,16;12,5,,,110;111,MN10;MN11,11;12,9,9,13,70;68,30,Central Harlem North-Polo Grounds;East Harlem North,
10024,20;24;26,11,3;5,Columbus Avenue BID,,107;109,MN07;MN09,16,6;7,6;7,12;13,67;69;70,47;30,Upper West Side;Morningside Heights,West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II
10454,40,14,7,,Port Morris,201,BX01,23,8,8;17,15,84,29,Mott Haven-Port Morris,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District
10026,26;28,11;12,3;5,,,109;110,MN09;MN10,16;11,9;7,7;9,13,69;70;68,30;29,Morningside Heights;Central Harlem South,Mount Morris Park Historic District;Mount Morris Park Historic District Extension
10035,25,16;12,5;4,,,111,MN11,11;12,9;8,9;8,13,70;68,30;29,Central Harlem North-Polo Grounds;East Harlem North,
10048,1,1,2,Downtown Alliance BID,,101,MN01,15,1,1,10,61,27,Battery Park City-Lower Manhattan,
10025,24;26,11,3,Columbus Amsterdam BID,,107;109,MN07;MN09,16,6;7,6;7,12;13,67;69,47;30,Upper West Side;Morningside Heights,Upper West Side/Central Park West Historic District;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District
11357,109,53;52,25,,,407,QE07,43,19,20;19,6;3;14,27;40;26,16;11,Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;Whitestone,
10029,23;25,10;12,2;4,,,111,MN11,12,9;8,5;4;9;8,12;13,68,30;29,East Harlem South;East Harlem North,Expanded Carnegie Hill Historic District
00083,22,10;12,3,,,164,,15,6,6,12,75;67;69;68,28;47;30,park-cemetery-etc-Manhattan,
11356,109,52,25,,,407,QE07,43,19,19,14,27,11,College Point;Whitestone,
11359,109,53,25,,,407,QE07,43,19,19,3,26,11,Ft. Totten-Bay Terrace-Clearview,Fort Totten Historic District
11360,111;109,53;52,26;25,,,411;407,QE11;QE07,43,19,19,3,26,16;11,Bayside-Bayside Hills;Ft. Totten-Bay Terrace-Clearview;Whitestone,
11105,114,49,30,,Astoria,401;480,QW01,42;41,22,22,14,36;34,59;11;12,park-cemetery-etc-Queens;Steinway,
10128,19,10,2,,,108,MN08,13;12,5;4;8,5;4,12,76;73;68,28;29,Upper East Side-Carnegie Hill;Yorkville,Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Hardenbergh/Rhinelander Historic District
10023,20,9;11,3,Lincoln Square BID;Columbus Avenue BID,,107,MN07,15;16,6,3;6,12,75;67,47,Lincoln Square;Upper West Side,West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District
11363,111,53,26,,,411,QE11,43,19,19,3,26,11,park-cemetery-etc-Queens;Douglas Manor-Douglaston-Little Neck,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District
10028,19,10,2,Madison Avenue BID,,108,MN08,13,5;4,5;4,12,76;73,28,Upper East Side-Carnegie Hill;Yorkville,Metropolitan Museum Historic District;Park Avenue Historic District;Expanded Carnegie Hill Historic District
11354,109,52,25,Downtown Flushing,,407,QE07,43,20;19,20;19,6;3;14,27;40,16;11,Flushing;Murray Hill;College Point,
11102,114,49,30,,,401,QW01,41,22,26;22,14,36;34,59,Astoria;Steinway;Old Astoria,
11370,114;115,49,30,,Astoria,403;401;480,QW01;QW03,42;41,25;22,25;22,6;14,35;30;34,11;13;12,Airport;Steinway;Jackson Heights,
10021,19,10,2,Madison Avenue BID,,108,MN08,13,5;4,5;4,12,76;73,28,Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill,Upper East Side Historic District Extension;Upper East Side Historic District
11358,111;109,53;52,26;25,,,411;407,QE11;QE07,43,20;19,20;19,6;3,25;40;26,16;11,East Flushing;Auburndale;Bayside-Bayside Hills;Murray Hill;Ft. Totten-Bay Terrace-Clearview,
11362,105;111,53,26,,,411,QE11,43,23;19,23;19,3,26,11,park-cemetery-etc-Queens;Douglas Manor-Douglaston-Little Neck,
10044,114,45,2,,,108,MN08,13,5,5,12,76,28,Lenox Hill-Roosevelt Island,
11369,115,49,24;30,,,403,QW03,42,25;22;21,25;22;21,6;14,35;34,13,Jackson Heights;East Elmhurst,
11103,114,45;49,30,Steinway Street BID,,401,QW01,41,26;22,26;22,7;14,30;36;34,59;12,Astoria;Steinway,
11106,114,45,30,,Long Island City,401,QW01,41,26;22,26;22,7;14,36,59,Queensbridge-Ravenswood-Long Island City;Astoria;Old Astoria,
11368,110;115,52;46;49,28;25;24;30,,,481;404;403;407,QW04;QW03;QE07,42;43,20;25;21,20;21,6;14,39;27;35;40;34,16;11;13,park-cemetery-etc-Queens;Corona;North Corona,
11377,104;110;108;114;115,46;45;49,24;30,Sunnyside Shines,Woodside;Maspeth,405;404;403;402;401,QW05;QW04;QW02;QW01;QW03,46;42;41,30;25;26;22,30;25;26;22,6;7;14,30;37;34,13;12,park-cemetery-etc-Queens;Elmhurst-Maspeth;Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Astoria;Jackson Heights,
11355,110;109,52,25,Downtown Flushing,,481;407,QE07,43,20,20,6,25;40,16,park-cemetery-etc-Queens;Queensboro Hill;East Flushing;Flushing;Murray Hill,
11101,108;114,45;49,24;30,Long Island City;Sunnyside Shines;Steinway Street BID,Maspeth;Long Island City,402;401,QW02;QW01,41,26;22,26,7,37;36;34,59;12,Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria,Hunters Point Historic District
11364,105;107;111,53,26,,,408;411,QE08;QE11,43,23;20,23;20,6;3,24;25;26,16;11,park-cemetery-etc-Queens;Oakland Gardens;Bayside-Bayside Hills,
10018,10;14,8;7,2,Bryant Park BID;Grand Central Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID,,105;104,MN05;MN04,15,4;3,4;3,12,75,28;47,Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton,
10020,18,9,2,5th Avenue BID,,105,MN05,13,4,4,12,75,28,Midtown-Midtown South,
11005,105,53,26,,,413,QE13,43,23,23,3,26,11,Glen Oaks-Floral Park-New Hyde Park,
10017,17;14;18,8;9,2,Bryant Park BID;Grand Central Partnership;5th Avenue BID,,106;105,MN06;MN05,14;13;15,4,4,12,74;73,59;28,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Midtown-Midtown South,Tudor City Historic District;Turtle Bay Gardens Historic District
10001,13;10;14,8;7,2,Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District,,105;104,MN05;MN04,15,4;3,2;4;3,12,75,28;47,Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,Lamartine Place Historic District;West Chelsea Historic District;Madison Square North Historic District
10011,13;6;10,2;6;7,2,Village Alliance BID;14th Street BID;Meatpacking BID;Flatiron/23rd Street Partnership,,105;102;104,MN05;MN02;MN04,15,2;3,1;3,10;12,66;75,28;27;47,West Village;Hudson Yards-Chelsea-Flatiron-Union Square,Greenwich Village Historic District;Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Ladies' Mile Historic District
10016,17;13;14,8;7,2,Grand Central Partnership;Flatiron/23rd Street Partnership;34th Street BID,,106;105,MN06;MN05,14;13;15,4;2;3,2;4,12,74;73;75,59;28,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;Madison Square North Historic District
11104,108,45;49,24;30,Sunnyside Shines,,402,QW02,41,26,26,7,37,12,Hunters Point-Sunnyside-West Maspeth,Sunnyside Gardens Historic District
11109,108,45,30,,,402,QW02,41,26,26,7,37,59,Hunters Point-Sunnyside-West Maspeth,
10010,13,8;6;7,2,Flatiron/23rd Street Partnership,,106;105,MN06;MN05,14;15,4;2;3,2;4;3,12,74;75,59;28,Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square,Ladies' Mile Historic District;Madison Square North Historic District
11367,102;107;112;110;109,50;52,28;25,,,408;481;407,QE08;QE07,45;43,29;24;20,24;29,6,27,14;16,park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Queensboro Hill,
10014,1;6,2,2,Hudson Square;Meatpacking BID,,102,MN02,15,3,3,10,66,27;47,SoHo-TriBeCa-Civic Center-Little Italy;West Village,Charlton-King-Vandam Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District
10003,9;13;6,4;2;6,1;2,NoHo BID;Village Alliance BID;14th Street BID,,106;105;103;102,MN06;MN05;MN03;MN02,14;15,2;3,1;2,10;12,74;66,59;28;27,East Village;Gramercy;West Village;Hudson Yards-Chelsea-Flatiron-Union Square,East Village / Lower East Side Historic District;NoHo Historic District;St. Mark's Historic District;St. Mark's Historic District Extension;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Greenwich Village Historic District;Gramercy Park Historic District;Ladies' Mile Historic District
11222,94,35;28,14,,Greenpoint/Williamsburg;North Brooklyn,301,BKN01,30,33;34,33;34,7,50;53,59;18,North Side-South Side;Greenpoint;East Williamsburg,Greenpoint Historic District;Eberhard Faber Pencil Company Historic District
10002,7;5;9,4;2,1;2,Chinatown;Lower East Side BID,,103,MN03,14,1;2,1;2,10,74;65,27,Lower East Side;Chinatown,
11378,104;108,46;45,24,,Maspeth,405;402,QW05;QW02,46;41,30;26,30;26,6;7,28;30;37,15;12,park-cemetery-etc-Queens;Ridgewood;Middle Village;Maspeth;Hunters Point-Sunnyside-West Maspeth,
10009,9;13,4;6,1;2,,,106;103,MN06;MN03,14,4;2,2;4,10;12,74;65,59;27,Lower East Side;Stuyvesant Town-Cooper Village;East Village,East 10th Street Historic District;East Village / Lower East Side Historic District
10012,1;5;9;6,4;2;6,2,SoHo Broadway BID;NoHo BID,,102,MN02,15,1;2,1;3,10,65;66,27,SoHo-TriBeCa-Civic Center-Little Italy;West Village,SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;Sullivan-Thompson Historic District;MacDougal-Sullivan Gardens Historic District;South Village Historic District
10013,1;5,1;4;2,2,Chinatown;SoHo Broadway BID;Hudson Square,,101;103;102,MN01;MN03;MN02,15,1;3,1;3,10,61;65;66,27,SoHo-TriBeCa-Civic Center-Little Italy;Chinatown,Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Charlton-King-Vandam Historic District
10007,1;5,1,2,Downtown Alliance BID,,101,MN01,15,1,1,10,61;65;66,27,Battery Park City-Lower Manhattan;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown,African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District
11237,90;83,37;28,14;32,,Ridgewood;North Brooklyn,301;304,BKN01;BKN04,30;34,37;34,37;34,7,54;53,18;12,Bushwick North;East Williamsburg,
11385,102;104;112,51;50;46;45,28;24,Myrtle Avenue DMA,Ridgewood;Maspeth,405;482;406,QW05;QW06,46,32;30;34,30;34;29,5;6;7,38;28;37,18;15;12,park-cemetery-etc-Queens;Ridgewood;Glendale;Middle Village,Ridgewood South Historic District;Central Ridgewood Historic District;Ridgewood North Historic District;Stockholm Street Historic District
10038,1;5,1;4,2,Downtown Alliance BID;Chinatown,,101;103,MN01;MN03,14;15,1,1,10,61;65;66,27,Battery Park City-Lower Manhattan;Chinatown,South Street Seaport Historic District;South Street Seaport Historic District Extension
11206,79;90;81;83,57;31;35;28,13;14;16;32,Graham Avenue?BID,North Brooklyn,301;303;304,BKN01;BKN03;BKN04,36;30;34,36;33;34,36;33;34,8;7,50;56;53,25;18,Bedford;Williamsburg;North Side-South Side;Bushwick North;Stuyvesant Heights;Bushwick South;East Williamsburg,
10006,1,1,2,Downtown Alliance BID,,101,MN01,15,1,1,10,61,27,Battery Park City-Lower Manhattan,
11412,113;103,54,29,,,412,QE12,44,27,27,5,29;33,14,St. Albans;Hollis;Queens Village,
10005,1,1,2,Downtown Alliance BID,,101,MN01,15,1,1,10,61;65,27,Battery Park City-Lower Manhattan,
11251,88,31,13;14,,Brooklyn Navy Yards,302,BKN02,36,33,33,7,52,25,park-cemetery-etc-Brooklyn,
10004,1,1,2,Downtown Alliance BID,,101,MN01,15,1,1,10,61;65,27,Battery Park City-Lower Manhattan;park-cemetery-etc-Manhattan,Fraunces Tavern Block Historic District;Stone Street Historic District
11411,113;105,54;53,29,,,412;413,QE12;QE13,44,27,27,5,33,14,St. Albans;Cambria Heights;Queens Village,Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
11201,76;84;88,32;31,15;13,Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership;DUMBO,Southwest Brooklyn,306;302,BKS06;BKN02,36;38;15,35;39;1;33,35;39;1;33,10;7,57;61;52;65,25;26,Carroll Gardens-Columbia Street-Red Hook;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Battery Park City-Lower Manhattan;Fort Greene;park-cemetery-etc-Manhattan,Fort Greene Historic District;Boerum Hill Historic District Extension;Cobble Hill Historic District;Cobble Hill Historic District Extension;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;DUMBO Historic District;Fulton Ferry Historic District
10004,1,1,2,,,101,,15,1,1,10,61,26,park-cemetery-etc-Manhattan,Ellis Island Historic District
11205,79;88,57;31,13;14,Myrtle Avenue Brooklyn Partnership,,302;303,BKN02;BKN03,36;32,35;36;33,35;36;33,8;7,57;52,25,Bedford;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn,Fort Greene Historic District;Clinton Hill Historic District;Wallabout Historic District
11208,106;75;104,39;51;44,27;19;24,,Flatlands/Fairfield,410;305;405,QE10;BKN05;QW05,45;33;34;46,32;42;37,32;42;37;30,5;8;7,23;60;54;38,19;18;15,Lindenwood-Howard Beach;park-cemetery-etc-Brooklyn;East New York;park-cemetery-etc-Queens;Cypress Hills-City Line,
11207,69;75;83,39;58;44;37,19;23;32,East Brooklyn?BID,Flatlands/Fairfield;East New York,305;318;304,BKS18;BKN05;BKN04,33;34,42;37,42;37,8;7,60;54;55,25;19;18,Canarsie;Starrett City;park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Ocean Hill;Bushwick North;Bushwick South,
10004,1,1,2,,,101,MN01,15,1,1,10,61,26,park-cemetery-etc-Manhattan,Governors Island Historic District
10004,1,1,2,,,101,,15,1,1,10,61,26,park-cemetery-etc-Manhattan,
11413,113;105,54,29,Greater JFK,JFK,412;413,QE12;QE13,44,31;27,31;27,5,31;29,10;14,Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;St. Albans;park-cemetery-etc-Queens,
11217,78;76;84;88,57;32;31,15;13,North Flatbush?BID;Fulton Area Business (FAB) Alliance;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Court-Livingston-Schermerhorn?BID;MetroTech?BID,,308;306;302,BKN08;BKS06;BKN02,36;38,35;39;33,35;39;33,10;7,44;57;52,20;25;26,Prospect Heights;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Fort Greene,Park Slope Historic District;Park Slope Historic District Extension II;Brooklyn Academy of Music Historic District;Fort Greene Historic District;Prospect Heights Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District
11238,78;77;79;88,38;57;31,17;13,Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance,,308;355;302;303,BKN08;BKN02;BKN03,36;39;38,35;36;39,35;36;39,9;10;8;7,44;57;52,20;25,Crown Heights North;Prospect Heights;Bedford;Park Slope-Gowanus;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn,Fort Greene Historic District;Prospect Heights Historic District;Clinton Hill Historic District
11231,76,32,15,,Southwest Brooklyn,306,BKS06,38,38;39,39;38;33,10,51;52,26,Carroll Gardens-Columbia Street-Red Hook;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Carroll Gardens Historic District;Cobble Hill Historic District
11422,113;105,54,27;29,,JFK,413,QE13,44,31;27,31;27,5,31;29;33,10;14,Rosedale;Springfield Gardens South-Brookville;Laurelton;Cambria Heights,
